Date,Price,SMA_20,SMA_50,EMA_20,BB_std,BB_upper,BB_lower,RSI_14,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Daily_Return,Momentum_10,SMA_20_lag1,SMA_50_lag1,EMA_20_lag1,BB_upper_lag1,BB_lower_lag1,RSI_14_lag1,MACD_lag1,MACD_Signal_lag1,Daily_Return_lag1,Momentum_10_lag1,Compound_Sentiment
2015-03-06,2071.26,2094.1405,2062.0786,2090.241615967,20.7962768618773,2135.73305372376,2052.54794627625,45.601606753061,2096.63346221351,2085.46479259734,11.1686696161728,14.8017257055002,-3.63305608932745,-0.0141739329094162,-39.04,2093.7035,2062.2242,2092.23968080563,2136.47519958353,2050.93180041647,56.791647971921,14.6456429744785,15.7099897278321,0.0011960753479816,3.59000000000015,-0.736446056514978
2015-03-09,2079.43,2095.3385,2062.0238,2089.21193825585,19.0698227505372,2133.47814550108,2057.19885449893,48.5941589264982,2093.98677571912,2085.01777092346,8.96900479566375,13.6351815235329,-4.6661767278692,0.0039444589283814,-30.23,2094.1405,2062.0786,2090.241615967,2135.73305372376,2052.54794627625,45.601606753061,11.1686696161728,14.8017257055002,-0.0141739329094162,-39.04,-0.368191158398986
2015-03-10,2044.16,2095.2095,2061.2694,2084.92127746958,19.4213616724109,2134.05222334482,2056.36677665518,38.6971724294594,2086.32111791618,2081.99126937357,4.32984854260712,11.7741149273478,-7.44426638474066,-0.0169613788393934,-71.3199999999999,2095.3385,2062.0238,2089.21193825585,2133.47814550108,2057.19885449893,48.5941589264982,8.96900479566375,13.6351815235329,0.0039444589283814,-30.23,0.442296774592251
2015-03-11,2040.24,2093.792,2060.2988,2080.66591771057,22.2893159678769,2138.37063193575,2049.21336806425,37.776291416217,2079.23171515985,2078.89858275331,0.333132406536606,9.48591842318555,-9.15278601664894,-0.0019176581089542,-73.6200000000001,2095.2095,2061.2694,2084.92127746958,2134.05222334482,2056.36677665518,38.6971724294594,4.32984854260712,11.7741149273478,-0.0169613788393934,-71.3199999999999,0.0057605095207691
2015-03-12,2065.95,2093.663,2059.8064,2079.26440173814,22.4501014181289,2138.56320283626,2048.76279716374,46.7300833190935,2077.18837436602,2077.93942847529,-0.75105410926335,7.43852391669577,-8.18957802595912,0.0126014586519232,-44.79,2093.792,2060.2988,2080.66591771057,2138.37063193575,2049.21336806425,37.776291416217,0.333132406536606,9.48591842318555,-0.0019176581089542,-73.6200000000001,-0.117963174978892
2015-03-13,2053.4,2091.909,2059.2674,2076.80112538213,24.180080296764,2140.26916059353,2043.54883940647,43.4437983071841,2073.52862446356,2076.12169303267,-2.59306856911462,5.43220541953369,-8.02527398864831,-0.0060746871899125,-51.0999999999999,2093.663,2059.8064,2079.26440173814,2138.56320283626,2048.76279716374,46.7300833190935,-0.75105410926335,7.43852391669577,0.0126014586519232,-44.79,-0.0743899270892143
2015-03-16,2081.19,2091.119,2059.7132,2077.21911344097,24.2633010510687,2139.64560210214,2042.59239789786,51.5662361246379,2074.70729762301,2076.4971231784,-1.78982555539005,3.98779922454894,-5.777624779939,0.0135336515048212,-36.1999999999998,2091.909,2059.2674,2076.80112538213,2140.26916059353,2043.54883940647,43.4437983071841,-2.59306856911462,5.43220541953369,-0.0060746871899125,-51.0999999999999,-0.0629394570365548
2015-03-17,2074.28,2089.816,2060.0348,2076.93919787516,24.4411394772711,2138.69827895454,2040.93372104546,49.6565716178249,2074.64155952716,2076.33289183185,-1.69133230468969,2.85197291870121,-4.54330522339091,-0.003320215838054,-33.5,2091.119,2059.7132,2077.21911344097,2139.64560210214,2042.59239789786,51.5662361246379,-1.78982555539005,3.98779922454894,0.0135336515048212,-36.1999999999998,0.161201186105609
2015-03-18,2099.5,2089.807,2061.6132,2079.08784569658,24.4373489172888,2138.68169783458,2040.93230216542,56.0534506990081,2078.46593498452,2078.04897391838,0.416961066140175,2.36497054818901,-1.94800948204883,0.0121584356981699,0.9699999999998,2089.816,2060.0348,2076.93919787516,2138.69827895454,2040.93372104546,49.6565716178249,-1.69133230468969,2.85197291870121,-0.003320215838054,-33.5,-0.7598094381392
2015-03-19,2089.27,2089.398,2063.3464,2080.05757467786,24.3710610528585,2138.14012210572,2040.65587789428,53.1057580323686,2080.12809883306,2078.88016103554,1.24793779751826,2.14156399805486,-0.893626200536597,-0.004872588711598,-11.77,2089.807,2061.6132,2079.08784569658,2138.68169783458,2040.93230216542,56.0534506990081,0.416961066140175,2.36497054818901,0.0121584356981699,0.9699999999998,0.113807075191289
2015-03-20,2108.1,2089.288,2064.9904,2082.72828185139,24.2765350427993,2137.8410700856,2040.7349299144,57.5326080461283,2084.43146824336,2081.04459355143,3.3868746919311,2.39062613683011,0.996248555100992,0.0090127173606091,36.8399999999997,2089.398,2063.3464,2080.05757467786,2138.14012210572,2040.65587789428,53.1057580323686,1.24793779751826,2.14156399805486,-0.004872588711598,-11.77,0
2015-03-23,2104.42,2089.026,2065.836,2084.79415977031,24.0725210015169,2137.17104200303,2040.88095799697,56.4118096476946,2087.50662697515,2082.77610514021,4.73052183493928,2.85860527645194,1.87191655848734,-0.0017456477396706,24.9900000000002,2089.288,2064.9904,2082.72828185139,2137.8410700856,2040.7349299144,57.5326080461283,3.3868746919311,2.39062613683011,0.0090127173606091,36.8399999999997,-0.189646174820761
2015-03-24,2091.5,2087.827,2066.7698,2085.43281122075,23.2693537105205,2134.36570742104,2041.28829257896,52.5417525455636,2088.12099205589,2083.42231957427,4.69867248162745,3.22661871748704,1.47205376414041,-0.0061394588532707,47.3399999999999,2089.026,2065.836,2084.79415977031,2137.17104200303,2040.88095799697,56.4118096476946,4.73052183493928,2.85860527645194,-0.0017456477396706,24.9900000000002,-0.0198960853740572
2015-03-25,2061.05,2085.1865,2067.4256,2083.11063872354,23.1558102916569,2131.49812058331,2038.87487941669,44.7497754338366,2083.9562240473,2081.76511071691,2.19111333038109,3.01951764006585,-0.828404309684767,-0.0145589289983264,20.8100000000002,2087.827,2066.7698,2085.43281122075,2134.36570742104,2041.28829257896,52.5417525455636,4.69867248162745,3.22661871748704,-0.0061394588532707,47.3399999999999,0.0295520527288317
2015-03-26,2056.15,2082.457,2068.088,2080.54295884511,23.2025100956101,2128.86202019122,2036.05197980878,43.6285137074488,2079.67834342463,2079.86769510825,-0.189351683619407,2.3777437753288,-2.56709545894821,-0.002377428980374,-9.79999999999973,2085.1865,2067.4256,2083.11063872354,2131.49812058331,2038.87487941669,44.7497754338366,2.19111333038109,3.01951764006585,-0.0145589289983264,20.8100000000002,-0.223777331411839
2015-03-27,2061.02,2080.283,2069.083,2078.68362943129,23.0650095211464,2126.41301904229,2034.15298095771,45.1008245949756,2076.80782905161,2078.47156954468,-1.66374049306569,1.5694469216499,-3.23318741471559,0.0023685042433674,7.61999999999989,2082.457,2068.088,2080.54295884511,2128.86202019122,2036.05197980878,43.6285137074488,-0.189351683619407,2.3777437753288,-0.002377428980374,-9.79999999999973,0.0972754585091024
2015-03-30,2086.24,2078.7255,2070.9544,2079.40328377117,21.4205249517973,2121.56654990359,2035.88445009641,52.0807510280141,2078.25893227444,2079.04700883767,-0.788076563223967,1.09794222467513,-1.8860187878991,0.0122366595181025,5.04999999999973,2080.283,2069.083,2078.68362943129,2126.41301904229,2034.15298095771,45.1008245949756,-1.66374049306569,1.5694469216499,0.0023685042433674,7.61999999999989,0.0335379702349503
2015-03-31,2067.89,2076.731,2071.9238,2078.30678055486,20.4059103667242,2117.54282073345,2035.91917926655,47.3623590237029,2076.66371192453,2078.22056373858,-1.5568518140517,0.566983416929764,-2.12383523098146,-0.0087957282000152,-6.39000000000033,2078.7255,2070.9544,2079.40328377117,2121.56654990359,2035.88445009641,52.0807510280141,-0.788076563223967,1.09794222467513,0.0122366595181025,5.04999999999973,0
2015-04-01,2059.69,2074.789,2072.6666,2076.53375383535,20.0675102433876,2114.92402048678,2034.65397951322,45.3836642540803,2074.05237162845,2076.84792938757,-2.79555775912695,-0.105524818281579,-2.69003294084537,-0.0039653946776665,-39.8099999999999,2076.731,2071.9238,2078.30678055486,2117.54282073345,2035.91917926655,47.3623590237029,-1.5568518140517,0.566983416929764,-0.0087957282000152,-6.39000000000033,0.0348693104460835
