Date,Sentiment
2008-01-02,-0.47879211449374764
2008-01-03,0.797434434294701
2008-01-04,0.703453563153744
2008-01-05,0.609472692012787
2008-01-06,0.51549182087183
2008-01-07,0.421510949730873
2008-01-08,0.022952965693548488
2008-01-09,-0.375605018343776
2008-01-10,0.25989830493927
2008-01-11,0.1971680533412533
2008-01-12,0.13443780174323663
2008-01-13,0.07170755014521996
2008-01-14,0.00897729854720325
2008-01-15,-0.05375295305081346
2008-01-16,-0.11648320464883011
2008-01-17,-0.17921345624684681
2008-01-18,-0.24194370784486352
2008-01-19,-0.3046739594428802
2008-01-20,-0.36740421104089693
2008-01-21,-0.43013446263891364
2008-01-22,-0.49286471423693035
2008-01-23,-0.5258047675846946
2008-01-24,-0.5587448209324588
2008-01-25,-0.5916848742802231
2008-01-26,-0.6246249276279873
2008-01-27,-0.6575649809757516
2008-01-28,-0.6905050343235157
2008-01-29,-0.72344508767128
2008-01-30,0.0801605843007565
2008-01-31,0.07304494921118024
2008-02-01,0.065929314121604
2008-02-02,-0.04491309930259976
2008-02-03,-0.15575551272680352
2008-02-04,-0.2665979261510073
2008-02-05,-0.37744033957521106
2008-02-06,-0.4514406071717126
2008-02-07,-0.5254408747682141
2008-02-08,-0.5994411423647156
2008-02-09,-0.6734414099612172
2008-02-10,-0.7474416775577186
2008-02-11,-0.8214419451542201
2008-02-12,-0.7378471183124932
2008-02-13,-0.6542522914707662
2008-02-14,-0.5706574646290392
2008-02-15,-0.48706263778731235
2008-02-16,-0.4034678109455854
2008-02-17,-0.31987298410385845
2008-02-18,-0.23627815726213153
2008-02-19,-0.1526833304204046
2008-02-20,-0.06908850357867768
2008-02-21,0.0145063232630492
2008-02-22,-0.41591453365981573
2008-02-23,-0.34035824456562597
2008-02-24,-0.26480195547143615
2008-02-25,-0.18924566637724638
2008-02-26,-0.11368937728305661
2008-02-27,-0.03813308818886685
2008-02-28,0.037423200905323
2008-02-29,-0.926590371876956
2008-03-01,-0.7323473587632188
2008-03-02,-0.5381043456494814
2008-03-03,-0.34386133253574414
2008-03-04,-0.14961831942200676
2008-03-05,0.0446246936917305
2008-03-06,-0.1983197729568928
2008-03-07,-0.4412642396055161
