Date,Compound_Sentiment,Positive_Score,Negative_Score,Neutral_Score
2008-05-09,0.0,0.0,0.0,0.0
2008-05-12,0.1585872539629539,0.32810064156850177,0.1695133876055479,0.5023859739303589
2008-05-13,0.0,0.0,0.0,0.0
2008-05-14,0.0,0.0,0.0,0.0
2008-05-15,0.0,0.0,0.0,0.0
2008-05-16,-0.8455648981034756,0.06194639578461647,0.907511293888092,0.03054227866232395
2008-05-19,0.0,0.0,0.0,0.0
2008-05-20,0.0,0.0,0.0,0.0
2008-05-21,0.36146379355341196,0.37160971760749817,0.010145924054086208,0.6182443499565125
2008-05-22,0.0,0.0,0.0,0.0
2008-05-23,0.003999374806880951,0.027944380417466164,0.023945005610585213,0.9481106400489807
2008-05-26,0.0,0.0,0.0,0.0
2008-05-27,-0.015271252021193504,0.025200949981808662,0.04047220200300217,0.9343268871307373
2008-05-28,0.0,0.0,0.0,0.0
2008-05-29,-0.8298561200499535,0.0728699341416359,0.9027260541915894,0.024404050782322884
2008-05-30,0.0,0.0,0.0,0.0
2008-06-02,-0.9454334601759911,0.012137509882450104,0.9575709700584412,0.030291514471173286
2008-06-03,0.0,0.0,0.0,0.0
2008-06-04,-0.022265559062361717,0.47457386925816536,0.4968394283205271,0.028586698696017265
2008-06-05,0.08444069512188435,0.0990903452038765,0.01464965008199215,0.886259913444519
2008-06-06,0.0,0.0,0.0,0.0
2008-06-09,-0.48484050296247005,0.029143067076802254,0.5139835700392723,0.4568734047934413
2008-06-10,0.0,0.0,0.0,0.0
2008-06-11,0.0,0.0,0.0,0.0
2008-06-12,0.0,0.0,0.0,0.0
2008-06-13,-0.6661506742238998,0.14241231977939606,0.8085629940032959,0.04902467131614685
2008-06-16,0.0,0.0,0.0,0.0
2008-06-17,0.0,0.0,0.0,0.0
2008-06-18,0.0,0.0,0.0,0.0
2008-06-19,0.0,0.0,0.0,0.0
2008-06-20,-0.9133125748485327,0.025434890761971474,0.9387474656105042,0.03581763803958893
2008-06-23,0.0,0.0,0.0,0.0
2008-06-24,0.08790858928114176,0.1286173090338707,0.04070871975272894,0.8306739628314972
2008-06-25,0.0,0.0,0.0,0.0
2008-06-26,0.0,0.0,0.0,0.0
2008-06-27,0.0,0.0,0.0,0.0
2008-06-30,0.0,0.0,0.0,0.0
2008-07-01,-0.9118130439892411,0.012050426565110683,0.9238634705543518,0.06408615410327911
2008-07-02,-0.25941924937069416,0.23529449105262756,0.4947137404233217,0.26999176386743784
2008-07-03,0.0,0.0,0.0,0.0
2008-07-04,0.0,0.0,0.0,0.0
2008-07-07,0.039519358426332474,0.06942245364189148,0.029903095215559006,0.9006744623184204
2008-07-08,0.0,0.0,0.0,0.0
2008-07-09,-0.939851495437324,0.011760679073631763,0.9516121745109558,0.03662717342376709
2008-07-10,0.0,0.0,0.0,0.0
2008-07-11,0.0,0.0,0.0,0.0
2008-07-14,-0.17308984324336052,0.01816684380173683,0.19125668704509735,0.7905765175819397
2008-07-15,0.0,0.0,0.0,0.0
2008-07-16,0.0,0.0,0.0,0.0
2008-07-17,0.0,0.0,0.0,0.0
2008-07-18,0.0,0.0,0.0,0.0
2008-07-21,0.0,0.0,0.0,0.0
2008-07-22,0.0,0.0,0.0,0.0
2008-07-23,-0.009318102151155472,0.023558136075735092,0.032876238226890564,0.9435655474662781
2008-07-24,0.0,0.0,0.0,0.0
2008-07-25,0.0,0.0,0.0,0.0
2008-07-28,0.0,0.0,0.0,0.0
2008-07-29,0.8153956905007362,0.8847359418869019,0.06934025138616562,0.04592381790280342
2008-07-30,0.0,0.0,0.0,0.0
2008-07-31,-0.5977526642382145,0.05384364351630211,0.6515963077545166,0.294560045003891
2008-08-01,0.7089942321181297,0.7736923694610596,0.06469813734292984,0.16160948574543
2008-08-04,0.31410906463861465,0.3235166370868683,0.009407572448253632,0.6670757532119751
2008-08-05,0.0,0.0,0.0,0.0
2008-08-06,0.0,0.0,0.0,0.0
2008-08-07,0.0,0.0,0.0,0.0
2008-08-08,0.019523456692695618,0.04628412425518036,0.02676066756248474,0.9269552826881409
2008-08-11,0.0,0.0,0.0,0.0
2008-08-12,0.0,0.0,0.0,0.0
2008-08-13,-0.9322074521332979,0.01678784005343914,0.9489952921867371,0.034216854721307755
2008-08-14,0.7971157506108284,0.8654048442840576,0.06828909367322922,0.06630611419677734
2008-08-15,0.0,0.0,0.0,0.0
2008-08-18,0.0,0.0,0.0,0.0
2008-08-19,0.03142466302961111,0.050484031438827515,0.019059368409216404,0.9304565787315369
2008-08-20,0.0,0.0,0.0,0.0
2008-08-21,0.0,0.0,0.0,0.0
2008-08-22,0.0,0.0,0.0,0.0
2008-08-25,0.0,0.0,0.0,0.0
2008-08-26,0.4114794582128525,0.4676505494862795,0.05617109127342701,0.4761783927679062
2008-08-27,-0.001024032011628151,0.03994342125952244,0.04096745327115059,0.9190891087055206
